birdlife_name,species_wnv,avilist_name,avilist_family,avilist_order,positive,total_tested,method,sampling_year,country,region,ref_id,long,lat,mass_log,tarsus_log,hwi_log,longevity_log,clutch_max_log,log_human_population_density,abundance_log,habitat,habitat_TP2019,freshwater,migration,sociality,primary_lifestyle,nest_placement,trophic_niche,altitude_cat,data_complete,ind_per_sp,method_cat
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,169,946,molecular_detection,2003,United States,California,66,-118.755997,36.7014631,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,1,3,HI,2015,United States,Texas,67,-98.5456116,31.2638905,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,other
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,9,21,molecular_detection,2013,United States,Colorado,122,-105.607716,38.7251776,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,0,3,serological_VNT,2002,United States,Colorado,138,-105.607716,38.7251776,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,serological_VNT
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,1,1,serological_ELISA,2004,United States,New Mexico,145,-105.9960475,34.5802074,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,serological_ELISA
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,0,2,IHC,2002,United States,United States,155,-100.445882,39.7837304,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,other
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,0,2,molecular_detection,2002,United States,Iowa,155,-93.3122705,41.9216734,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,9,30,molecular_detection,2000,United States,New York,210,-74.0060152,40.7127281,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,0,1,molecular_detection,2009,Canada,Ontario,221,-86.000977,50.000678,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,1,4,molecular_detection,2011,Canada,Ontario,221,-86.000977,50.000678,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
Accipiter cooperii,Accipiter_cooperii,Astur_cooperii,Accipitridae,Accipitriformes,1,2,molecular_detection,2010,Canada,Ontario,221,-86.000977,50.000678,0.790724825379867,1.10550783962445,0.296452215077911,0.8188382050875,0.44289786175903,0.11425260974686,-0.285381258756034,greenLandscape,Terrestrial,0,migratory,nonSocial,air,ExposedElevated,carnivore,midland,TRUE,1744,molecular_detection
